story,Politics_0,Politics_1,Politics_2,Politics_3,Politics_4,Politics_5,Politics_6,Politics_7,Politics_8,Politics_9,Politics_10,Politics_11,Politics_12,Politics_13,Politics_pca_1d,Politics_pca_2d,Russia_0,Russia_1,Russia_2,Russia_3,Russia_4,Russia_5,Russia_6,Russia_7,Russia_8,Russia_pca_1d,Russia_pca_2d,Public services_0,Public services_1,Public services_2,Public services_3,Public services_4,Public services_5,Public services_pca_1d,Public services_pca_2d,Crime_0,Crime_1,Crime_2,Crime_3,Crime_4,Crime_5,Crime_6,Crime_7,Crime_8,Crime_pca_1d,Crime_pca_2d,Crypto/net_0,Crypto/net_1,Crypto/net_2,Crypto/net_pca_1d,Crypto/net_pca_2d,Inflation_0,Inflation_1,Inflation_2,Inflation_pca_1d,Inflation_pca_2d
theobjective,0.0524922594311846,1.466975172642642,-0.227038101355251,0.6104753289739756,-0.0810325487620823,-0.6227653384388412,0.3236625052118308,-0.1192453390628719,-0.3973112136261312,0.1220162460674587,-0.665593507057125,-0.4136441452521549,1.096670525135108,-0.1983016702846379,1.5519405535552484,0.6198238498391255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cronicalibre,-0.0320338525375545,-0.2422766921431883,0.0072812268534814,0.0054826377926997,-0.0586039207128824,-0.0022108448766333,0.0567208774792535,0.1941449876888231,-0.0150767634758564,-0.2453645648658302,0.0328508092942464,-0.1500044794907973,0.1124689580151394,0.0212142814079852,-0.9401780197412626,0.3766995350476137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ctxt,-0.0625194987030961,-0.1957381964724518,0.4851123965260447,-0.0522504649801695,0.1585846598645587,0.041128877269048,0.2434328248199201,-0.1276800546772646,-0.0014094724545844,-0.0091526735766511,-0.0427817522016754,0.3542584583930388,-0.0601627176955399,-0.1884071095795558,-0.23339132687142852,-0.6975937809436648,-0.5280001336458316,-0.580016635885481,0.1591457537211829,-0.1612951566345877,0.0949165407168315,0.7095362160384994,-0.4564132273696391,-0.0674136144274615,0.0065349009621409,-2.569944549851995,-1.0501078296370578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
diario16,-0.0041593440680623,-0.0864819195906105,0.0533974572373187,-0.3365669393207559,0.0429756593335073,0.0301515901394292,-0.0517998704804591,-0.0187808086326503,0.1122204915892682,-0.0236827204783301,-0.0771316277647148,-0.0786404348374266,0.0702563268917376,0.0360787671108792,-0.4408945210205094,-0.6887712803072942,,,,,,,,,,,,0.2169157161009567,-0.1539346001980124,0.0837465872859511,-0.0299933768503737,-0.1489152226403622,0.0293496761335416,0.5618075307991004,-0.314613821880854,,,,,,,,,,,,,,,,,,,,,
efe,-0.0265381623719459,1.2635262246309265,-0.3234086317889327,0.8518974152344632,2.565228863090637,3.98190579727306,-0.1734205888504087,0.2064759409307326,-0.2931824819475774,0.0674758017941755,0.010829262310559,-0.2311417552301743,0.10462337814865,0.0349854000051905,6.743319574072911,6.538532618202843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
elcomercio,-0.0010523183981122,0.7358230054183088,-0.1513304874169051,0.1113336062570317,-0.1836382675970975,0.051996985883478,0.0147533674225262,-0.1961128319494532,-0.1979996955446505,0.1883509732889504,0.2932976115624744,0.2554576168244716,0.4339660825987557,-0.5941567612890148,0.8170597313074834,-0.8739974922597186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
elindependiente,0.09326270033097,1.0940816722463018,-0.1507455464417447,-0.003844054762754,0.1667899049474473,-0.0370392434805803,0.0236238063863433,0.003710746585778,-0.050227886577492,0.1204311957048287,-0.4923731157601267,0.2297797468881516,-0.0855405917995728,0.0143217394094069,0.8863822147522892,-0.1075975039595363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
elplural,-0.0017447125187605,-0.0758959335848006,0.0228771744812636,-0.317674518785032,-0.0498622629584454,0.0804105556294384,-0.1006041162921628,0.0030763344905637,0.0496588100901994,-0.0263278444861651,-0.046854442577107,-0.0788246155647128,0.0615200399008637,0.0522174793635787,-0.48321616784052207,-0.6811762021790237,,,,,,,,,,,,0.172753400196667,-0.2464597684503028,0.0791581026884837,-0.1098717175861041,-0.1581527996002713,0.0738811628719256,0.495762018004756,-0.31965488116469143,,,,,,,,,,,,,,,,,,,,,
elsaltodiario,0.0223061782485966,-0.0309252188978756,0.0359882406241547,-0.3286004162716703,0.2209568156288399,-0.0270183804075215,1.5149955706848697,-0.3617446629428661,0.0166073860512827,0.8329857820816394,0.30779108530774,-0.3736707950204102,-0.2103466885737021,0.2634198876969046,-0.7182145940925442,-0.6836266551249274,,,,,,,,,,,,0.6135490926776777,0.0527480978441081,-0.0121154098969208,0.4783141664355788,0.477265941036423,0.0184191593007743,0.5691804987735486,0.20483611511017819,,,,,,,,,,,,,,,,,,,,,
huffingtonpost,-0.0445467650572747,-0.1446971181268873,0.0078408168785383,-0.0411644206707415,-0.0176148560336093,0.0162526717280546,-0.135041219468054,0.0083602127740161,0.0927408492065813,0.0405838903271443,0.0188535340238476,-0.0951719298681698,-0.0085880406863879,0.0029718780070742,-0.053999460219874486,-0.5199527920229978,-0.212137139047347,0.100381872225059,0.0387725151132846,0.2362362646540495,0.4437660608212903,0.4832509162129338,0.441176390449321,-0.3074954142388338,-0.0728500598403573,-0.7123355156980612,0.8871457496344356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
infolibre,-0.0210964576683256,-0.0839083870110783,0.0408184840775936,-0.3417035531742248,-0.0294252483403353,0.0745408192029433,0.0955403506377105,0.0004881274243289,-0.0039951343360712,-0.0020432007810969,-0.2750512592624702,0.020421160277242,-0.0199685954576023,-0.0481662092429935,-0.6533640226485353,-0.7723756345281201,,,,,,,,,,,,0.7358413963956509,0.191403214747532,-0.0511782054072303,-0.0830949837916207,0.0535630239180156,-0.0948114052144637,0.03096781405237942,-0.7286742633154626,,,,,,,,,,,,,,,,,,,,,
larazon,0.0055857129103349,0.2293277794729265,-0.0118725434205472,0.0917897054477328,0.0424498150520925,-0.0616477611738191,0.0413674208612125,-0.0763625693126117,0.0435497667547391,-0.0939440414107174,-0.2154090601117796,-0.0381702061445997,-0.0595726901003844,-0.0881053293425605,0.1811841531615858,-0.16356878864984506,0.0104807629698461,0.5060552022413214,-0.2594458360756946,-0.074894369536476,-0.235394599591348,-0.1463310601053454,-0.306404073805076,0.0434482260045774,-0.3801454391018555,1.0915245969484535,-0.6833694528883165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
marca,-0.0174844089641559,0.1307995323279468,-0.0681455966687187,0.2656713229888892,-0.1122093857395595,-0.0699570051373508,-0.1677709179505702,-0.043375770180036,0.007366958459247,0.0539794247610672,0.4386332690954853,-0.3967827098219562,0.3125096129472033,-0.0159802987205792,0.48643303984681585,0.0805627008181263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
moncloa,4.104852780053408,-0.2473552512402123,0.0009552477375274,0.1351483688340556,0.0359784889773064,-0.0182995316750768,-0.0117412946157178,0.0166284323816351,-0.0131180140148147,0.0014265040675528,-0.0056630899117138,0.015788893657738,-0.0102922336568838,-0.0022544569959194,-0.11090293156917799,-0.4747541423033734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
