Topic,Count,Name,CustomName,Representation,Representative_Docs
62,130,62_de_la_los_que,"de, la, los","['de', 'la', 'los', 'que', 'se', 'en', 'el', 'las', 'una', 'para']",
63,130,63_tabaco_me_que_en,"tabaco, me, que","['tabaco', 'me', 'que', 'en', 'mi', 'la', 'de', 'el', 'se', 'fumar']",
64,129,64_de_la_el_en,"de, la, el","['de', 'la', 'el', 'en', 'de la', 'los', 'del', 'que', 'un', 'las']",
65,129,65_television_telecinco_espectadores_la television,"television, telecinco, espectador","['television', 'telecinco', 'espectadores', 'la television', 'programa', 'tv', 'cadena', 'tve', 'en', 'de']",
66,128,66_suicidio_mental_salud mental_depresion,"suicidio, mental, salud ment","['suicidio', 'mental', 'salud mental', 'depresion', 'suicidios', 'salud', 'personas', 'el suicidio', 'psicologia', 'que']",
67,127,67_iglesia_la iglesia_que_ciencia,"iglesia, la iglesia, que","['iglesia', 'la iglesia', 'que', 'ciencia', 'los', 'la', 'de', 'es', 'de la iglesia', 'las']",
68,127,68_de_euros_la_del,"de, euros, la","['de', 'euros', 'la', 'del', 'por', 'china', 'de la', 'el', 'en', 'que']",
69,125,69_poblacion_pobreza_la poblacion_habitantes,"poblacion, pobreza, la poblaci","['poblacion', 'pobreza', 'la poblacion', 'habitantes', 'de la poblacion', 'mas', 'en', 'de', 'natalidad', 'exclusion']",
70,121,70_marruecos_sahara_sahara occidental_del sahara,"marruecos, sahara, sahara occ","['marruecos', 'sahara', 'sahara occidental', 'del sahara', 'marroqui', 'del', 'occidental', 'de marruecos', 'saharaui', 'del sahara occidental']",
71,121,71_de_que_la_en,"de, que, la","['de', 'que', 'la', 'en', 'el', 'para', 'se', 'del', 'una', 'un']",
72,118,72_la_el_de_que,"la, el, de","['la', 'el', 'de', 'que', 'presidente', 'en', 'el presidente', 'los', 'de la', 'espana']",
73,116,73_de_la_que_un,"de, la, que","['de', 'la', 'que', 'un', 'los', 'en', 'el', 'las', 'una', 'con']",
74,112,74_globo_espia_globos_globo espia,"globo, espia, globos","['globo', 'espia', 'globos', 'globo espia', 'chino', 'espia chino', 'globo espia chino', 'un', 'el', 'espacio aereo']",
75,111,75_las_los_redes_las redes sociales,"las, los, redes","['las', 'los', 'redes', 'las redes sociales', 'las redes', 'digital', 'redes sociales', 'de', 'que', 'la']",
76,110,76_arboles_bosques_los arboles_especies,"arboles, bosques, los arbole","['arboles', 'bosques', 'los arboles', 'especies', 'arbol', 'de arboles', 'de', 'los bosques', 'los', 'bosque']",
77,108,77_ayuntamiento_turismo_de_el,"ayuntamien, turismo, de","['ayuntamiento', 'turismo', 'de', 'el', 'el ayuntamiento', 'que', 'en', 'del', 'la', 'los']",
78,104,78_tamames_sanchez_feijoo_ramon tamames,"tamames, sanchez, feijoo","['tamames', 'sanchez', 'feijoo', 'ramon tamames', 'mocion', 'pedro sanchez', 'mocion de', 'la mocion', 'mocion de censura', 'cara']",
79,103,79_mascarillas_mascarilla_de_en,"mascarilla, mascarilla, de","['mascarillas', 'mascarilla', 'de', 'en', 'la', 'los', 'el', 'las', 'se', 'que']",
80,103,80_arabia_saudi_iran_guerra,"arabia, saudi, iran","['arabia', 'saudi', 'iran', 'guerra', 'paz', 'siria', 'arabia saudi', 'la', 'relaciones', 'de']",
81,102,81_de_el_en_la,"de, el, en","['de', 'el', 'en', 'la', 'su', 'del', 'que', 'los', 'al', 'por']",
82,102,82_trump_donald_donald trump_expresidente,"trump, donald, donald tru","['trump', 'donald', 'donald trump', 'expresidente', 'el expresidente', 'expresidente donald trump', 'expresidente donald', 'de trump', 'cargos', 'jurado']",
83,102,83_bolsonaro_brasil_jair bolsonaro_jair,"bolsonaro, brasil, jair bolso","['bolsonaro', 'brasil', 'jair bolsonaro', 'jair', 'lula', 'en brasil', 'de brasil', 'brasilia', 'presidente', 'el']",
84,101,84_es_que_vida_no,"es, que, vida","['es', 'que', 'vida', 'no', 'lo', 'nos', 'para', 'la', 'lo que', 'con']",
85,99,85_las_en_de_la,"las, en, de","['las', 'en', 'de', 'la', 'un', 'el', 'que', 'una', 'por', 'los']",
86,99,86_anime_manga_serie_de,"anime, manga, serie","['anime', 'manga', 'serie', 'de', 'juguetes', 'en', 'una', 'su', 'es', 'que']",
87,96,87_residuos_de residuos_de_los,"residuos, de residuo, de","['residuos', 'de residuos', 'de', 'los', 'la', 'en', 'plasticos', 'contaminacion', 'reciclaje', 'toneladas']",
88,96,88_de_que_la_es,"de, que, la","['de', 'que', 'la', 'es', 'el', 'las', 'los', 'en', 'se', 'mas']",
